model_path,base_model,lora_rank,checkpoint_type,dataset_name,ordering_acc,arithmetic_acc,classification_acc,boundary_acc,overall_acc,ordering_count,arithmetic_count,classification_count,boundary_count,total_count,timestamp,start_time_sf
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank4-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,4,A,YEAR_CONCEPT_CONTROL,0.96,0.36,0.68,0.74,0.685,100,100,100,100,400,2025-12-31-00-00-50,2025-12-30-16-00-50
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank2-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,2,A,YEAR_CONCEPT_CONTROL,0.96,0.35,0.72,0.77,0.7,100,100,100,100,400,2025-12-31-00-01-00,2025-12-30-16-01-00
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank32-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,32,B,YEAR_CONCEPT_CONTROL,0.99,0.33,0.71,0.95,0.745,100,100,100,100,400,2025-12-31-00-01-19,2025-12-30-16-01-19
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank64-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,64,B,YEAR_CONCEPT_CONTROL,0.99,0.35,0.7,0.94,0.745,100,100,100,100,400,2025-12-31-00-01-37,2025-12-30-16-01-37
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank16-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,16,B,YEAR_CONCEPT_CONTROL,1.0,0.29,0.74,0.95,0.745,100,100,100,100,400,2025-12-31-00-01-57,2025-12-30-16-01-57
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank128-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,128,B,YEAR_CONCEPT_CONTROL,0.99,0.34,0.68,0.93,0.735,100,100,100,100,400,2025-12-31-00-02-15,2025-12-30-16-02-15
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank8-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,8,B,YEAR_CONCEPT_CONTROL,1.0,0.37,0.76,0.95,0.77,100,100,100,100,400,2025-12-31-00-02-33,2025-12-30-16-02-33
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank96-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,96,B,YEAR_CONCEPT_CONTROL,0.99,0.36,0.7,0.93,0.745,100,100,100,100,400,2025-12-31-00-02-51,2025-12-30-16-02-51
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank12-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,12,B,YEAR_CONCEPT_CONTROL,1.0,0.32,0.75,0.94,0.7525,100,100,100,100,400,2025-12-31-00-03-09,2025-12-30-16-03-09
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank48-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,48,B,YEAR_CONCEPT_CONTROL,0.99,0.33,0.72,0.95,0.7475,100,100,100,100,400,2025-12-31-00-03-26,2025-12-30-16-03-26
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank24-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,24,B,YEAR_CONCEPT_CONTROL,1.0,0.34,0.73,0.95,0.755,100,100,100,100,400,2025-12-31-00-03-43,2025-12-30-16-03-43
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank4-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,4,B,YEAR_CONCEPT_CONTROL,1.0,0.37,0.76,0.95,0.77,100,100,100,100,400,2025-12-31-00-04-00,2025-12-30-16-04-00
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank2-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,2,B,YEAR_CONCEPT_CONTROL,1.0,0.37,0.76,0.95,0.77,100,100,100,100,400,2025-12-31-00-04-16,2025-12-30-16-04-16
models/2025-12-28_05-13-18/baseline_rtt/YEARS/Qwen_Qwen2.5-3B-Instruct/QUESTION_LETTER_ANSWER/skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,0,C,YEAR_CONCEPT_CONTROL,1.0,0.37,0.77,0.94,0.77,100,100,100,100,400,2025-12-31-00-04-32,2025-12-30-16-04-32
