model_path,base_model,lora_rank,checkpoint_type,dataset_name,ordering_acc,arithmetic_acc,classification_acc,boundary_acc,overall_acc,ordering_count,arithmetic_count,classification_count,boundary_count,total_count,timestamp,start_time_sf
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,0,BASELINE,YEAR_CONCEPT_CONTROL,0.97,0.34,0.77,0.82,0.725,100,100,100,100,400,2025-12-30-23-59-07,2025-12-30-15-59-07
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank16-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,16,A,YEAR_CONCEPT_CONTROL,0.97,0.38,0.65,0.76,0.69,100,100,100,100,400,2025-12-30-23-59-17,2025-12-30-15-59-17
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank32-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,32,A,YEAR_CONCEPT_CONTROL,0.95,0.36,0.65,0.73,0.6725,100,100,100,100,400,2025-12-30-23-59-27,2025-12-30-15-59-27
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank64-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,64,A,YEAR_CONCEPT_CONTROL,0.96,0.36,0.65,0.72,0.6725,100,100,100,100,400,2025-12-30-23-59-36,2025-12-30-15-59-36
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank8-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,8,A,YEAR_CONCEPT_CONTROL,0.97,0.37,0.7,0.75,0.6975,100,100,100,100,400,2025-12-30-23-59-47,2025-12-30-15-59-47
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank128-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,128,A,YEAR_CONCEPT_CONTROL,0.94,0.36,0.67,0.69,0.665,100,100,100,100,400,2025-12-30-23-59-56,2025-12-30-15-59-56
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank12-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,12,A,YEAR_CONCEPT_CONTROL,0.95,0.36,0.67,0.76,0.685,100,100,100,100,400,2025-12-31-00-00-07,2025-12-30-16-00-07
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank48-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,48,A,YEAR_CONCEPT_CONTROL,0.96,0.35,0.63,0.73,0.6675,100,100,100,100,400,2025-12-31-00-00-18,2025-12-30-16-00-18
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank96-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,96,A,YEAR_CONCEPT_CONTROL,0.96,0.35,0.65,0.72,0.67,100,100,100,100,400,2025-12-31-00-00-29,2025-12-30-16-00-29
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank24-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,24,A,YEAR_CONCEPT_CONTROL,0.96,0.37,0.65,0.73,0.6775,100,100,100,100,400,2025-12-31-00-00-40,2025-12-30-16-00-40
