model_path,base_model,lora_rank,checkpoint_type,dataset_name,ordering_acc,arithmetic_acc,classification_acc,boundary_acc,overall_acc,ordering_count,arithmetic_count,classification_count,boundary_count,total_count,timestamp,start_time_sf
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,0,BASELINE,YEAR_CONCEPT_CONTROL,0.97,0.545,0.0,0.82,0.72,100,200,0,100,400,2025-12-30-23-44-04,2025-12-30-15-44-04
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank16-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,16,A,YEAR_CONCEPT_CONTROL,0.97,0.52,0.0,0.76,0.6925,100,200,0,100,400,2025-12-30-23-44-12,2025-12-30-15-44-12
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank32-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,32,A,YEAR_CONCEPT_CONTROL,0.95,0.51,0.0,0.73,0.675,100,200,0,100,400,2025-12-30-23-44-21,2025-12-30-15-44-21
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank64-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,64,A,YEAR_CONCEPT_CONTROL,0.96,0.515,0.0,0.72,0.6775,100,200,0,100,400,2025-12-30-23-44-32,2025-12-30-15-44-32
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank8-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,8,A,YEAR_CONCEPT_CONTROL,0.97,0.545,0.0,0.75,0.7025,100,200,0,100,400,2025-12-30-23-44-40,2025-12-30-15-44-40
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank128-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,128,A,YEAR_CONCEPT_CONTROL,0.94,0.515,0.0,0.69,0.665,100,200,0,100,400,2025-12-30-23-44-51,2025-12-30-15-44-51
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank12-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,12,A,YEAR_CONCEPT_CONTROL,0.95,0.515,0.0,0.76,0.685,100,200,0,100,400,2025-12-30-23-45-00,2025-12-30-15-45-00
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank48-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,48,A,YEAR_CONCEPT_CONTROL,0.96,0.495,0.0,0.73,0.67,100,200,0,100,400,2025-12-30-23-45-08,2025-12-30-15-45-08
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank96-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,96,A,YEAR_CONCEPT_CONTROL,0.96,0.495,0.0,0.72,0.6675,100,200,0,100,400,2025-12-30-23-45-20,2025-12-30-15-45-20
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank24-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,24,A,YEAR_CONCEPT_CONTROL,0.96,0.515,0.0,0.73,0.68,100,200,0,100,400,2025-12-30-23-45-31,2025-12-30-15-45-31
