model_path,base_model,lora_rank,checkpoint_type,dataset_name,ordering_acc,arithmetic_acc,classification_acc,boundary_acc,overall_acc,ordering_count,arithmetic_count,classification_count,boundary_count,total_count,timestamp,start_time_sf
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank4-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,4,A,YEAR_CONCEPT_CONTROL,0.96,0.52,0.0,0.74,0.685,100,200,0,100,400,2025-12-30-23-45-38,2025-12-30-15-45-38
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank2-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,2,A,YEAR_CONCEPT_CONTROL,0.96,0.535,0.0,0.77,0.7,100,200,0,100,400,2025-12-30-23-45-45,2025-12-30-15-45-45
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank32-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,32,B,YEAR_CONCEPT_CONTROL,0.99,0.52,0.0,0.95,0.745,100,200,0,100,400,2025-12-30-23-46-05,2025-12-30-15-46-05
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank64-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,64,B,YEAR_CONCEPT_CONTROL,0.99,0.525,0.0,0.94,0.745,100,200,0,100,400,2025-12-30-23-46-22,2025-12-30-15-46-22
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank16-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,16,B,YEAR_CONCEPT_CONTROL,1.0,0.51,0.0,0.95,0.7425,100,200,0,100,400,2025-12-30-23-46-40,2025-12-30-15-46-40
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank128-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,128,B,YEAR_CONCEPT_CONTROL,0.99,0.51,0.0,0.93,0.735,100,200,0,100,400,2025-12-30-23-46-57,2025-12-30-15-46-57
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank8-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,8,B,YEAR_CONCEPT_CONTROL,1.0,0.565,0.0,0.95,0.77,100,200,0,100,400,2025-12-30-23-47-15,2025-12-30-15-47-15
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank96-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,96,B,YEAR_CONCEPT_CONTROL,0.99,0.53,0.0,0.93,0.745,100,200,0,100,400,2025-12-30-23-47-33,2025-12-30-15-47-33
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank12-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,12,B,YEAR_CONCEPT_CONTROL,1.0,0.535,0.0,0.94,0.7525,100,200,0,100,400,2025-12-30-23-47-50,2025-12-30-15-47-50
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank48-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,48,B,YEAR_CONCEPT_CONTROL,0.99,0.52,0.0,0.95,0.745,100,200,0,100,400,2025-12-30-23-48-08,2025-12-30-15-48-08
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank24-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,24,B,YEAR_CONCEPT_CONTROL,1.0,0.535,0.0,0.95,0.755,100,200,0,100,400,2025-12-30-23-48-25,2025-12-30-15-48-25
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank4-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,4,B,YEAR_CONCEPT_CONTROL,1.0,0.565,0.0,0.95,0.77,100,200,0,100,400,2025-12-30-23-48-40,2025-12-30-15-48-40
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank2-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,2,B,YEAR_CONCEPT_CONTROL,1.0,0.565,0.0,0.95,0.77,100,200,0,100,400,2025-12-30-23-48-54,2025-12-30-15-48-54
models/2025-12-28_05-13-18/baseline_rtt/YEARS/Qwen_Qwen2.5-3B-Instruct/QUESTION_LETTER_ANSWER/skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,0,C,YEAR_CONCEPT_CONTROL,1.0,0.57,0.0,0.94,0.77,100,200,0,100,400,2025-12-30-23-49-11,2025-12-30-15-49-11
