model_path,base_model,lora_rank,checkpoint_type,dataset_name,ordering_acc,arithmetic_acc,classification_acc,boundary_acc,overall_acc,ordering_count,arithmetic_count,classification_count,boundary_count,total_count,timestamp,start_time_sf
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank4-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,4,A,YEAR_CONCEPT,0.99,0.27,0.88,0.55,0.6725,100,100,100,100,400,2025-12-31-00-13-10,2025-12-30-16-13-10
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank2-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,2,A,YEAR_CONCEPT,0.99,0.29,0.88,0.56,0.68,100,100,100,100,400,2025-12-31-00-13-18,2025-12-30-16-13-18
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank32-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,32,B,YEAR_CONCEPT,0.99,0.33,0.9,0.97,0.7975,100,100,100,100,400,2025-12-31-00-13-36,2025-12-30-16-13-36
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank64-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,64,B,YEAR_CONCEPT,0.98,0.28,0.9,0.97,0.7825,100,100,100,100,400,2025-12-31-00-13-54,2025-12-30-16-13-54
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank16-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,16,B,YEAR_CONCEPT,1.0,0.3,0.9,0.98,0.795,100,100,100,100,400,2025-12-31-00-14-11,2025-12-30-16-14-11
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank128-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,128,B,YEAR_CONCEPT,0.98,0.28,0.89,0.98,0.7825,100,100,100,100,400,2025-12-31-00-14-27,2025-12-30-16-14-27
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank8-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,8,B,YEAR_CONCEPT,1.0,0.3,0.9,0.99,0.7975,100,100,100,100,400,2025-12-31-00-14-45,2025-12-30-16-14-45
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank96-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,96,B,YEAR_CONCEPT,0.99,0.28,0.9,0.97,0.785,100,100,100,100,400,2025-12-31-00-15-01,2025-12-30-16-15-01
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank12-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,12,B,YEAR_CONCEPT,1.0,0.28,0.89,0.99,0.79,100,100,100,100,400,2025-12-31-00-15-17,2025-12-30-16-15-17
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank48-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,48,B,YEAR_CONCEPT,0.98,0.26,0.9,0.97,0.7775,100,100,100,100,400,2025-12-31-00-15-33,2025-12-30-16-15-33
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank24-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,24,B,YEAR_CONCEPT,0.99,0.32,0.9,0.98,0.7975,100,100,100,100,400,2025-12-31-00-15-51,2025-12-30-16-15-51
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank4-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,4,B,YEAR_CONCEPT,1.0,0.3,0.9,0.99,0.7975,100,100,100,100,400,2025-12-31-00-16-08,2025-12-30-16-16-08
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank2-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,2,B,YEAR_CONCEPT,1.0,0.35,0.9,0.99,0.81,100,100,100,100,400,2025-12-31-00-16-25,2025-12-30-16-16-25
models/2025-12-28_05-13-18/baseline_rtt/YEARS/Qwen_Qwen2.5-3B-Instruct/QUESTION_LETTER_ANSWER/skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,0,C,YEAR_CONCEPT,0.99,0.35,0.9,1.0,0.81,100,100,100,100,400,2025-12-31-00-16-42,2025-12-30-16-16-42
