model_path,base_model,lora_rank,checkpoint_type,dataset_name,ordering_acc,arithmetic_acc,classification_acc,boundary_acc,overall_acc,ordering_count,arithmetic_count,classification_count,boundary_count,total_count,timestamp,start_time_sf
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct,0,BASELINE,YEAR_CONCEPT_CONTROL,0.97,0.34,0.77,0.82,0.725,100,100,100,100,400,2025-12-31-02-52-22,2025-12-30-18-52-22
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank16-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,16,A,YEAR_CONCEPT_CONTROL,0.97,0.38,0.65,0.76,0.69,100,100,100,100,400,2025-12-31-02-52-34,2025-12-30-18-52-34
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank32-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,32,A,YEAR_CONCEPT_CONTROL,0.95,0.36,0.65,0.73,0.6725,100,100,100,100,400,2025-12-31-02-52-46,2025-12-30-18-52-46
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank64-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,64,A,YEAR_CONCEPT_CONTROL,0.96,0.36,0.65,0.72,0.6725,100,100,100,100,400,2025-12-31-02-52-58,2025-12-30-18-52-58
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank8-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,8,A,YEAR_CONCEPT_CONTROL,0.97,0.37,0.7,0.75,0.6975,100,100,100,100,400,2025-12-31-02-53-09,2025-12-30-18-53-09
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank128-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,128,A,YEAR_CONCEPT_CONTROL,0.94,0.36,0.67,0.69,0.665,100,100,100,100,400,2025-12-31-02-53-20,2025-12-30-18-53-20
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank12-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,12,A,YEAR_CONCEPT_CONTROL,0.95,0.36,0.67,0.76,0.685,100,100,100,100,400,2025-12-31-02-53-32,2025-12-30-18-53-32
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank48-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,48,A,YEAR_CONCEPT_CONTROL,0.96,0.35,0.63,0.73,0.6675,100,100,100,100,400,2025-12-31-02-53-42,2025-12-30-18-53-42
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank96-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,96,A,YEAR_CONCEPT_CONTROL,0.96,0.35,0.65,0.72,0.67,100,100,100,100,400,2025-12-31-02-53-54,2025-12-30-18-53-54
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank24-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,24,A,YEAR_CONCEPT_CONTROL,0.96,0.37,0.65,0.73,0.6775,100,100,100,100,400,2025-12-31-02-54-05,2025-12-30-18-54-05
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank4-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,4,A,YEAR_CONCEPT_CONTROL,0.96,0.36,0.68,0.74,0.685,100,100,100,100,400,2025-12-31-02-54-17,2025-12-30-18-54-17
models/2025-12-28_05-13-18/LORA/YEARS/lora_years_qwen_3b/rank2-sc20-Qwen_Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6,Qwen/Qwen2.5-3B-Instruct,2,A,YEAR_CONCEPT_CONTROL,0.96,0.35,0.72,0.77,0.7,100,100,100,100,400,2025-12-31-02-54-30,2025-12-30-18-54-30
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank32-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,32,B,YEAR_CONCEPT_CONTROL,0.99,0.33,0.71,0.95,0.745,100,100,100,100,400,2025-12-31-02-54-47,2025-12-30-18-54-47
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank64-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,64,B,YEAR_CONCEPT_CONTROL,0.99,0.35,0.7,0.94,0.745,100,100,100,100,400,2025-12-31-02-55-03,2025-12-30-18-55-03
models/2025-12-28_05-13-18/fted/LORA/YEARS/lora_years_qwen_3b/rank16-sc20-Qwen/Qwen2.5-3B-Instruct-rc0.001-lr4e-07-epochs6/lora_years_qwen_3b/LossType.QUESTION_LETTER_ANSWER/ft-skip_split4/lr1e-06-epoch2-epoch2,Qwen/Qwen2.5-3B-Instruct,16,B,YEAR_CONCEPT_CONTROL,1.0,0.29,0.74,0.95,0.745,100,100,100,100,400,2025-12-31-02-55-22,2025-12-30-18-55-22
